省份?,城市数?,AQI?,质量等级?,PM2.5?,PM10?,排名?
海南,2,50,优,30,46,1
西藏,3,55,良,23,55,2
云南,16,61,良,35,60,4
福建,9,61,良,37,56,3
黑龙江,13,64,良,43,65,5
内蒙古,12,65,良,31,72,6
广东,21,65,良,43,60,7
吉林,9,70,良,46,71,8
贵州,9,71,良,48,77,9
浙江,15,72,良,48,74,10
上海,1,73,良,44,63,11
青海,8,77,良,36,91,12
北京,1,79,良,48,71,13
江西,11,81,良,57,89,14
辽宁,15,82,良,56,86,15
重庆,1,84,良,60,85,16
山东,30,84,良,54,98,17
广西,14,84,良,61,87,18
甘肃,14,86,良,44,112,19
宁夏,5,87,良,44,113,20
江苏,24,88,良,60,95,21
天津,1,90,良,59,89,22
四川,21,90,良,62,96,23
湖南,14,95,良,68,108,24
安徽,16,95,良,68,102,25
湖北,13,101,轻度污染,73,110,26
河北,11,105,轻度污染,73,123,27
陕西,10,107,轻度污染,69,126,28
山西,11,108,轻度污染,72,130,29
河南,17,120,轻度污染,83,142,30
新疆,16,124,轻度污染,77,151,31
